uid,kind,source_url,fact_checked,verified_at,checked_by,changes
ccdvf-claude-md-hierarchy,feature,https://code.claude.com/docs/en/memory,"Four scopes and paths: managed policy /Library/Application Support/ClaudeCode/CLAUDE.md (macOS) and /etc/claude-code/CLAUDE.md (Linux/WSL); user ~/.claude/CLAUDE.md; project ./CLAUDE.md or ./.claude/CLAUDE.md; local ./CLAUDE.local.md (add to .gitignore). Loads cwd and every directory above at launch, concatenated root-down so the closest file is read last; subdirectory files load when Claude reads files there. @path imports expand at launch, maximum depth four hops. 'Claude treats them as context, not enforced configuration.' Size target under 200 lines. Confirm with /context Memory files.",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
ccdvf-cc-init-repository,concept,https://code.claude.com/docs/en/memory,"/init generates a starting CLAUDE.md with build commands, test instructions and conventions; if one exists it suggests improvements rather than overwriting. /init reads Cursor rules (.cursor/rules/ or .cursorrules) and Copilot rules (.github/copilot-instructions.md). CLAUDE_CODE_NEW_INIT=1 enables the interactive multi-phase flow. Confirm load via /context under Memory files. Target under 200 lines. Also https://code.claude.com/docs/en/commands (/init row).",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
ccdvf-cc-rules-path-scoped,concept,https://code.claude.com/docs/en/memory,".claude/rules/ .md files discovered recursively; rules without paths frontmatter load at launch with the same priority as .claude/CLAUDE.md; paths frontmatter globs (brace expansion allowed) load the rule when Claude reads matching files; ~/.claude/rules/ user rules load before project rules. Compaction: 'Path-scoped rules and nested CLAUDE.md files load into message history when their trigger file is read, so compaction summarizes them away' (https://code.claude.com/docs/en/context-window).",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
ccdvf-cc-skills-progressive-disclosure,concept,https://code.claude.com/docs/en/skills,"Locations .claude/skills/<name>/SKILL.md and ~/.claude/skills/<name>/SKILL.md. At startup only descriptions load; full SKILL.md enters context on invocation and stays across later turns. description + when_to_use truncated at 1,536 characters. disable-model-invocation: true = only you can invoke; user-invocable: false = only Claude. Supporting files load when Claude follows the link. allowed-tools grant applies to the invoking turn; argument-hint field.",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","A: added that disable-model-invocation also keeps the description out of context (skills.md: ""Description not in context, full skill loads when you invoke""; context-window.md startup listing note)."
ccdvf-cc-custom-slash-command-arguments,concept,https://code.claude.com/docs/en/skills,"Directory name becomes /<name>; $ARGUMENTS, $0/$1 (shell-style quoting), arguments: [issue, branch] frontmatter -> $issue $branch; legacy .claude/commands/<name>.md still works and creates the same command; !`command` dynamic context injection runs before content reaches Claude; allowed-tools pre-approves during the invoking turn only; plugin skills namespaced /plugin-name:skill-name. Cross-check https://code.claude.com/docs/en/commands (custom commands section).",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
ccdvf-cc-subagent-definition-file,concept,https://code.claude.com/docs/en/sub-agents,".claude/agents/ (project) and ~/.claude/agents/ (user); name and description required; tools allowlist inherits all if omitted; model sonnet|opus|haiku|fable|full id|inherit; permissionMode, maxTurns, skills, memory optional. Claude uses description to decide when to delegate. Startup context: own system prompt, CLAUDE.md hierarchy (Explore/Plan skip it), preloaded skills, delegation prompt; conversation history not passed; returns summary. Name conflict priority managed > --agents > .claude/agents/ > ~/.claude/agents/ > plugin. What loads at startup list: system prompt, task message, CLAUDE.md files, git status snapshot, preloaded skills (sub-agents.md).",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples",A: model values completed to sonnet|opus|haiku|fable|full model id|inherit (sub-agents.md frontmatter table).
ccdvf-cc-agent-memory-scopes,concept,https://code.claude.com/docs/en/sub-agents,"memory: user -> ~/.claude/agent-memory/<name>/; project -> .claude/agent-memory/<name>/ (shareable via version control); local -> .claude/agent-memory-local/<name>/ (not in version control). Subagent receives memory instructions, first 200 lines or 25KB of MEMORY.md whichever smaller, Read/Write/Edit auto-enabled. Main conversation auto memory is not loaded into subagents (https://code.claude.com/docs/en/memory#auto-memory). 'Subagent memory is part of auto memory: if you turn auto memory off ... the memory field has no effect' (sub-agents.md).",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","A: added that the memory field has no effect when auto memory is off via autoMemoryEnabled or CLAUDE_CODE_DISABLE_AUTO_MEMORY (sub-agents.md ""Subagent memory is part of auto memory"")."
ccdvf-cc-auto-memory-vs-claude-md,concept,https://code.claude.com/docs/en/memory,"Auto memory on by default; ~/.claude/projects/<project>/memory/ with MEMORY.md index plus topic files; <project> derived from git repository so worktrees share it; machine-local. Four note kinds user/feedback/project/reference; skips what codebase or CLAUDE.md already says. First 200 lines or 25KB of MEMORY.md loaded at start; topic files on demand. Disable: autoMemoryEnabled false or CLAUDE_CODE_DISABLE_AUTO_MEMORY=1. Table: CLAUDE.md written by you (rules), auto memory written by Claude (learnings); both context not enforced.",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
ccdvf-cc-session-resume-transcripts,concept,https://code.claude.com/docs/en/sessions,"Transcripts at ~/.claude/projects/<project>/<session-id>.jsonl; 30-day retention via cleanupPeriodDays. claude --continue = most recent conversation in current directory; claude --resume = picker, or <name>/<id>; /resume inside session; -n/--name and /rename. Resumed session restores history, model, agent, permission mode (terminal); --mcp-config, --settings, --plugin-dir, --add-dir not restored. -p and SDK sessions left out of picker and --continue, resumable via --resume <session-id>. --fork-session. Session-id capture example from https://code.claude.com/docs/en/headless.",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","none: all claims, numbers and defaults matched the source page on 2026-09-21"
ccdvf-cc-builtin-slash-commands,concept,https://code.claude.com/docs/en/commands,"/context (context usage grid), /status, /permissions alias /allowed-tools (rules and their settings.json source: https://code.claude.com/docs/en/permissions#manage-permissions), /memory, /config alias /settings, /doctor (slow hooks, CLAUDE.md optimization), /mcp, /hooks, /usage alias /cost, /rewind, /agents prints reminder as of v2.1.198, MCP prompts as /mcp__server__prompt, custom skills as /<name>. /status Setting sources line: https://code.claude.com/docs/en/settings#confirm-what-loaded. MCP prompts listed as /servername:promptname (MCP); typing /mcp__servername__promptname also runs it (mcp.md 'Use MCP prompts as commands').",2026-09-21,"independent fact-check 2026-09-21: every source_url re-opened, each claim/number/default re-verified; MCQ key order, star count vs choose-N, qualifier-in-stem and distractor WHYs re-checked; stems compared against exam-guide §8 samples","A: MCP prompts corrected to /server:prompt (MCP) with /mcp__server__prompt as the alternate form (mcp.md ""Use MCP prompts as commands""); /doctor wording aligned to ""flags slow hooks and trims oversized CLAUDE.md"" (commands.md /doctor row); dropped ""writes them to settings files"" from /config to stay under 120 words."
