uid,kind,source_url,fact_checked,verified_at,checked_by,changes
ccdvf-stop-reason-vs-http-error,concept,https://platform.claude.com/docs/en/build-with-claude/handling-stop-reasons ; https://platform.claude.com/docs/en/build-with-claude/refusals-and-fallback ; https://platform.claude.com/docs/en/api/errors,"Stop reasons vs errors: stop_reason is part of every successful (HTTP 200) response, errors are 4xx/5xx; refusal returned as normal HTTP 200 not an error; refusal pitfalls: monitoring built on error rates or 5xx never sees it, emit one event per refusal; stop_reason values end_turn/max_tokens/stop_sequence/tool_use/pause_turn/refusal/model_context_window_exceeded; error type names invalid_request_error/rate_limit_error/api_error/overloaded_error; SDKs raise typed exceptions (APIStatusError, status_code) ; seven stop_reason values incl. stop_sequence; stop_details null for every stop reason except refusal",2026-09-21,claude-opus-5 fact-check 2026-09-21,"Added stop_sequence to the stop_reason list (seven values on handling-stop-reasons quick reference) and made the metric branch treat end_turn and stop_sequence as complete; all error type names, 200-for-refusal, empty refusal content and typed-exception claims verified."
ccdvf-tool-error-is-error-recovery,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/handle-tool-calls,"tool_result with is_error true and error text in content; tip: write instructive error messages incl. what to try next ('Rate limit exceeded. Retry after 60 seconds.'); invalid tool call -> Claude retries 2-3 times with corrections before apologizing; fix = more detailed description or strict: true; server tool errors handled transparently, no is_error needed",2026-09-21,claude-opus-5 fact-check 2026-09-21,"No change. Verified is_error shape, instructive-message tip, 2-3 retries before apologising, strict: true, server tools need no is_error."
ccdvf-transcript-failure-modes,concept,https://www.anthropic.com/engineering/writing-tools-for-agents ; https://www.anthropic.com/engineering/building-effective-agents,"Read evaluation agents' reasoning/feedback (CoT); what agents omit can be more important; metrics beyond accuracy: total runtime of tool calls and tasks, total number of tool calls, total token consumption, tool errors; lots of invalid-parameter tool errors -> clearer descriptions or examples; redundant calls -> pagination/truncation parameters; tool returning ALL contacts wastes context; held-out test sets; concatenate transcripts into Claude Code to analyze; building-effective-agents: run many example inputs and iterate",2026-09-21,claude-opus-5 fact-check 2026-09-21,Reworded 'pagination or truncation parameters' to 'pagination or token-limit parameters' (blog: 'rightsizing of pagination or token limit parameters'); other claims incl. held-out sets to avoid overfitting and concatenating transcripts into Claude Code verified.
ccdvf-schema-valid-but-wrong,concept,https://platform.claude.com/docs/en/build-with-claude/structured-outputs ; https://platform.claude.com/docs/en/test-and-evaluate/develop-tests,"Structured outputs guarantee schema-compliant responses via constrained decoding (always valid, type safe, required fields, additionalProperties false); 'Refusals or responses truncated by max_tokens can still produce non-conforming output. Check the stop_reason'; develop-tests: exact match code grading, LLM grading with rubric, held-out set",2026-09-21,claude-opus-5 fact-check 2026-09-21,"No change. Verified constrained-decoding guarantees, additionalProperties must be false, refusal and max_tokens can produce non-conforming output (structured-outputs 'Invalid outputs'), exact-match / LLM-rubric grading."
ccdvf-http-error-taxonomy,feature,https://platform.claude.com/docs/en/api/errors,"400 invalid_request_error (also self-set spend limit); 401 authentication_error (malformed/revoked/expired key); 402 billing_error; 403 permission_error; 404 not_found_error; 409 conflict_error; 413 request_too_large; 429 rate_limit_error (rate limit, tier spend cap, Claude Code workspace limit); 500 api_error; 504 timeout_error (use streaming); 529 overloaded_error (high traffic across all users); request size limits 32 MB Messages / 32 MB Token Counting / 256 MB Batch / 500 MB Files (as of 2026-09); error shape type/error.type/error.message/request_id; request-id header; _request_id in Python & TypeScript SDKs",2026-09-21,claude-opus-5 fact-check 2026-09-21,"No change. Every status/type pair, 32/256/500 MB limits, error body shape, request-id header and _request_id (Python, TypeScript) verified on api/errors."
ccdvf-retriable-vs-terminal,pattern,https://platform.claude.com/docs/en/api/errors ; https://platform.claude.com/docs/en/cli-sdks-libraries/sdks/python ; https://platform.claude.com/docs/en/api/rate-limits,"SDKs retry transient failures (connection errors, rate limits, 5xx) with exponential backoff twice by default honoring retry-after; Python SDK retries connection errors, 408, 409, 429, >=500; max_retries option (default 2); exception classes BadRequestError 400 / RateLimitError 429 / APIStatusError; spend-cap 429: rate_limit_error, no retry-after, error.details.error_code enforced_spend_limit_reached, retrying incl. SDK retries fails until access resumes at 00:00 UTC first day of next month; self-set spend limit returns 400 invalid_request_error",2026-09-21,claude-opus-5 fact-check 2026-09-21,"No change. Python SDK retries connection errors, 408, 409, 429, >=500, 2 by default; SDKs honour retry-after; spend-cap 429 has no retry-after and error_code enforced_spend_limit_reached; self-set limit is a 400."
ccdvf-stop-reason-playbook,pattern,https://platform.claude.com/docs/en/build-with-claude/handling-stop-reasons ; https://platform.claude.com/docs/en/build-with-claude/thinking-troubleshooting ; https://platform.claude.com/docs/en/agents-and-tools/tool-use/handle-tool-calls,"tool_use -> run tool, return tool_result blocks; max_tokens -> raise max_tokens or continue; incomplete tool_use block -> retry with higher max_tokens; pause_turn -> server-tool loop iteration limit, send response back as-is (default 10 iterations per request verified but number not used in card); refusal -> read stop_details, retry on fallback model; model_context_window_exceeded -> treat as truncated; thinking tokens count toward max_tokens -> raise max_tokens or lower effort; tool_result blocks must come first in user message",2026-09-21,claude-opus-5 fact-check 2026-09-21,"No change. Verified per-value actions on handling-stop-reasons quick reference (default 10 server-tool iterations not stated in card), thinking tokens count toward max_tokens (thinking-troubleshooting), tool_result blocks first (handle-tool-calls)."
ccdvf-stream-error-after-200,pattern,https://platform.claude.com/docs/en/build-with-claude/streaming ; https://platform.claude.com/docs/en/api/errors ; https://platform.claude.com/docs/en/build-with-claude/refusals-and-fallback,"Error events: 'event: error' data {type: error, error: {type: overloaded_error, message: Overloaded}} corresponds to HTTP 529 in non-streaming; errors page: error can occur after API returns 200, error handling doesn't follow standard mechanisms; ping events any number; handle unknown event types gracefully; long requests over 10 minutes -> streaming or Batches; refusal can arrive mid-stream after partial output, treat partial output as incomplete and discard ; streaming 'Error recovery': capture partial response and construct a continuation request (4.6+: user message with partial text + 'continue'); tool_use and thinking blocks cannot be partially recovered",2026-09-21,claude-opus-5 fact-check 2026-09-21,"Corrected recovery: streaming 'Error recovery' section documents capture-and-resume (Claude 4.6+: user message with the partial text and an instruction to continue; only text blocks resumable), so the card now says reissue or send a continuation request and reserves 'discard partial output' for mid-stream refusals (refusals-and-fallback). Error-event shape, 529 equivalence, ping/unknown events, 10-minute guidance verified."
ccdvf-integration-vs-model-fault,pattern,https://platform.claude.com/docs/en/api/errors ; https://platform.claude.com/docs/en/build-with-claude/handling-stop-reasons ; https://www.anthropic.com/engineering/writing-tools-for-agents,"request_id in every response header and error body, _request_id on SDK response objects; stop_reason max_tokens / model_context_window_exceeded = truncated, refusal = empty content; transcript analysis of what the agent was given vs produced; held-out eval set. Isolation procedure is a synthesis of these documented facts plus the exam guide objective (problem origin isolation between integration layer and model output)",2026-09-21,claude-opus-5 fact-check 2026-09-21,No change. All cited facts verified; the isolation procedure remains a synthesis of documented facts plus exam-guide objective 'problem origin isolation between the integration layer and model output'.
ccdvf-eval-grader-choice,pattern,https://platform.claude.com/docs/en/test-and-evaluate/develop-tests,"Grading: choose the fastest, most reliable, most scalable method; code-based fastest/most reliable/extremely scalable but lacks nuance (exact match, string match); human most flexible and high quality but slow and expensive, avoid if possible; LLM-based fast and flexible, scalable, test to ensure reliability first then scale; tips: detailed clear rubrics, empirical or specific output (correct/incorrect or 1-5), encourage reasoning then discard; 'best practice to use a different model to evaluate'; principles: task-specific incl. edge cases, automate when possible, prioritize volume over quality ; 'different model to evaluate' appears as a code comment in the LLM-grading examples, not in prose",2026-09-21,claude-opus-5 fact-check 2026-09-21,"No change. Grading order, tips (rubrics, empirical output, reason then discard), eval principles verified on develop-tests; 'use a different model to evaluate' is stated in the page's LLM-grading code comments."
