uid,kind,source_url,fact_checked,verified_at,checked_by,changes
ccdvf-direct-vs-indirect-injection,pattern,https://platform.claude.com/docs/en/test-and-evaluate/strengthen-guardrails/mitigate-jailbreaks,"Two threat models: jailbreaks and direct prompt injection (the user is the adversary) vs indirect prompt injection (user trusted, third-party content such as web pages, emails, documents, tool results carries adversarial instructions); direct mitigations = harmlessness screen, input validation, prompt engineering with explicit refusal, respond to repeat offenders; indirect mitigations = untrusted content only in tool_result, label source, policy in system prompt, JSON-encode, least privilege, screen tool outputs",2026-09-21,claude-opus-5 independent fact-check 2026-09-21,none: every claim and number re-verified on the source page 2026-09-21
ccdvf-untrusted-content-in-tool-result,pattern,https://platform.claude.com/docs/en/test-and-evaluate/strengthen-guardrails/mitigate-jailbreaks,"Put untrusted content only in tool results, never in system prompts or plain user text blocks; Claude is trained to treat instructions inside tool results with skepticism; tell Claude what the content is and where it came from; JSON-encode untrusted content so an attacker cannot close a quote or tag to break out; example JSON-encoded inbound_email tool_result with tool_use_id toolu_01A09q90qw90lq917835lq9; don't put your own instructions in tool results, send them in a following user turn",2026-09-21,claude-opus-5 independent fact-check 2026-09-21,none: every claim and number re-verified on the source page 2026-09-21
ccdvf-hook-exit-code-2-blocks,feature,https://code.claude.com/docs/en/hooks,"Exit 0 = success, stdout parsed as JSON only if it is a JSON object, no decision means normal permission flow; exit 2 = blocking error, PreToolUse blocks the tool call, blocking message is the JSON reason if given else stderr, JSON permissionDecision allow cannot override exit 2; other exit codes non-blocking (action proceeds, notice shown) unless valid JSON decision; hookSpecificOutput.permissionDecision allow/deny/ask; hook input on stdin includes tool_name and tool_input.command; default command hook timeout 600 seconds",2026-09-21,claude-opus-5 independent fact-check 2026-09-21,A: exit codes other than 0/2 now say 'non-blocking unless stdout carries a valid JSON decision' (hooks#other-exit-codes); rest verified incl. exit 2 stderr shown to Claude as denial reason (PreToolUse decision control)
ccdvf-hook-exit-code-2-blocks,feature,https://code.claude.com/docs/en/hooks-guide,"PreToolUse example: jq -r .tool_input.command, grep, echo reason to stderr, exit 2 = block, exit 0 = no decision; stderr becomes Claude's feedback on PreToolUse",2026-09-21,claude-opus-5 independent fact-check 2026-09-21,none: every claim and number re-verified on the source page 2026-09-21
ccdvf-api-key-vs-wif-vs-app-attest,pattern,https://platform.claude.com/docs/en/manage-claude/authentication,"Three auth methods table: API key (static sk-ant-api... secret) best for local development, prototyping, scripts, servers where you control secret storage; Workload Identity Federation (short-lived bearer token exchanged from IdP identity token) best for production workloads on AWS, Google Cloud, Azure, CI/CD pipelines, Kubernetes; App Attest (short-lived access token to attested iOS/macOS installation) best for apps distributed to end users calling the API directly with no back end; App Attest tokens scoped to workspace, expire after one hour, authorize only Messages API calls",2026-09-21,claude-opus-5 independent fact-check 2026-09-21,none: every claim and number re-verified on the source page 2026-09-21
ccdvf-workspace-isolation,feature,https://platform.claude.com/docs/en/manage-claude/workspaces,"Every request runs in exactly one workspace; keys can be scoped to a single workspace; Files, Message Batches and Skills are workspace-scoped resources; prompt caches isolated per workspace on the Claude API; spend limits and rate limits per workspace can be set lower than but not higher than the organization's; organization-wide limits always apply; cannot set limits on the Default Workspace; Default Workspace cannot be renamed, archived or deleted; maximum 100 workspaces per organization by default; Usage and Cost API groups by workspace_id; recommended dev/staging/prod separation",2026-09-21,claude-opus-5 independent fact-check 2026-09-21,none: every claim and number re-verified on the source page 2026-09-21
ccdvf-web-fetch-exfiltration,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/web-fetch-tool,"Warning: web fetch with untrusted input alongside sensitive data poses data exfiltration risk; Claude can only fetch URLs that previously appeared in the conversation (user messages, client-side tool results, previous web search or web fetch results), not URLs only in its own output or only in the system prompt; residual risk remains; mitigations = disable the tool, max_uses, allowed_domains; error codes url_not_in_prior_context, url_not_allowed, max_uses_exceeded; no default max_uses limit; blocked_domains cannot be combined with allowed_domains",2026-09-21,claude-opus-5 independent fact-check 2026-09-21,none: every claim and number re-verified on the source page 2026-09-21
ccdvf-least-privilege-tool-scope-mcq,mcq,https://platform.claude.com/docs/en/agents-and-tools/mcp-connector,mcp_toolset in tools array; configs per tool with enabled false = denylist; default_config.enabled false plus configs enabled true = allowlist; denylisting write or destructive tools recommended for read-only assistants or when a human confirmation step is wanted before state changes,2026-09-21,claude-opus-5 independent fact-check 2026-09-21,"Distractors rewritten: old b (system-prompt plea) and c (bigger Opus model) mirrored official guide sample 2 options C/D. New b = default_config.defer_loading (mcp-connector: description withheld until tool search, tool still callable); new c = Haiku harmlessness screen on inputs (probabilistic, tool still in reach); new d = model-called confirm_refund (not the human confirmation computer-use-tool recommends). Key order a-d, 1 star, qualifier MOST secure verbatim"
ccdvf-least-privilege-tool-scope-mcq,mcq,https://platform.claude.com/docs/en/test-and-evaluate/strengthen-guardrails/mitigate-jailbreaks,Limit Claude's access to sensitive data and actions: principle of least privilege so a successful injection does minimal damage; system prompt policy is a request not an enforceable control,2026-09-21,claude-opus-5 independent fact-check 2026-09-21,none: every claim and number re-verified on the source page 2026-09-21
ccdvf-least-privilege-tool-scope-mcq,mcq,https://platform.claude.com/docs/en/agents-and-tools/tool-use/computer-use-tool,Ask a human to confirm decisions that might result in meaningful real-world consequences such as completing financial transactions; isolate Claude from sensitive data and actions to limit prompt-injection risk,2026-09-21,claude-opus-5 independent fact-check 2026-09-21,none: every claim and number re-verified on the source page 2026-09-21
