uid,kind,source_url,fact_checked,verified_at,checked_by,changes
ccdvf-tool-description-quality,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/define-tools,Descriptions are 'by far the most important factor' in tool performance; aim for at least 3–4 sentences covering what/when (and when not)/each parameter/caveats such as what it does not return; get_stock_price good vs poor description examples; input_examples secondary to descriptions,2026-09-21,check-D8,"verified, no change"
ccdvf-tool-use-contract,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/how-tool-use-works,"Model never executes; emits structured tool_use, your code or Anthropic's servers run it, result flows back; regex-to-extract-a-decision smell; when not to use tools: answerable from training, one-shot no side effects, latency dominates",2026-09-21,check-D8,"verified, no change"
ccdvf-tool-definition-fields,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/define-tools,"name regex ^[a-zA-Z0-9_-]{1,128}$; description; input_schema JSON Schema; input_examples optional, each validated (invalid → 400), not on server tools or computer/browser toolsets, ~20–50 tokens simple / ~100–200 complex",2026-09-21,check-D8,"verified, no change"
ccdvf-mcp-tools-resources-prompts,concept,https://modelcontextprotocol.io/docs/learn/server-concepts,"Tools model-controlled (tools/list, tools/call); resources application-controlled read-only with URIs (resources/list, resources/read, resources/templates/list); prompts user-controlled explicit invocation e.g. slash commands (prompts/list, prompts/get); database example schema as resource",2026-09-21,check-D8,"verified, no change"
ccdvf-mcp-host-client-server,concept,https://modelcontextprotocol.io/docs/learn/architecture,"Host creates one MCP client per server, dedicated connection; VS Code + Sentry + filesystem example; local stdio servers typically serve a single client, remote Streamable HTTP servers typically serve many; 'server' regardless of where it runs",2026-09-21,check-D8,"verified, no change"
ccdvf-mcp-two-layers-jsonrpc,concept,https://modelcontextprotocol.io/docs/learn/architecture,"Data layer (inner) = JSON-RPC 2.0, discovery, tools/resources/prompts, client features (elicitation), notifications; transport layer (outer) = connection, framing, auth; stdio transport (local, no network overhead) and Streamable HTTP (HTTP POST + optional SSE, bearer tokens, API keys, custom headers, OAuth recommended)",2026-09-21,check-D8,"verified, no change"
ccdvf-mcp-discovery-and-calls,concept,https://modelcontextprotocol.io/docs/learn/architecture,"As of protocol 2026-07-28: _meta carries protocolVersion and clientCapabilities on every request; server/discover returns supportedVersions, capabilities (tools listChanged), serverInfo, cacheable (ttlMs); tools/list returns name/title/description/inputSchema; tools/call name+arguments returns content array; subscriptions/listen with toolsListChanged → notifications/tools/list_changed (no id); client re-runs tools/list",2026-09-21,check-D8,"CODE: tools/call example now carries the _meta block (protocolVersion, clientCapabilities) that the A: says every 2026-07-28 request must include; matches the architecture page example"
ccdvf-mcp-discovery-and-calls,concept,https://modelcontextprotocol.io/docs/learn/server-concepts,"Method tables: tools/list, tools/call, resources/list, resources/templates/list, resources/read, prompts/list, prompts/get",2026-09-21,check-D8,"CODE: tools/call example now carries the _meta block (protocolVersion, clientCapabilities) that the A: says every 2026-07-28 request must include; matches the architecture page example"
ccdvf-when-not-to-use-tools,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/how-tool-use-works,"Tools fit: side effects, fresh/external data, guaranteed-shape structured output, calling existing systems; do not fit: answerable from training (summarization, translation, general knowledge), one-shot Q&A with no side effects, latency of round trip dominates trivial response",2026-09-21,check-D8,"verified, no change"
ccdvf-anthropic-schema-tools-trained-in,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/how-tool-use-works,"Anthropic-schema client tools memory, bash, text_editor, computer, browser: Anthropic publishes schema, your app executes; trained-in schemas → more reliable calls and better error recovery than custom equivalents",2026-09-21,check-D8,"verified, no change"
ccdvf-anthropic-schema-tools-trained-in,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/bash-tool,"bash_20250124 name bash, schema-less: no input_schema, schema built into the model",2026-09-21,check-D8,"verified, no change"
ccdvf-tool-consolidation-principle,concept,https://www.anthropic.com/engineering/writing-tools-for-agents,Consolidate: schedule_event instead of list_users/list_events/create_event; search_logs instead of read_logs; avoid wrapping every API endpoint; too many or overlapping tools distract agents,2026-09-21,check-D8,"verified, no change"
ccdvf-tool-consolidation-principle,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/define-tools,"Consolidate related operations into fewer tools with an action parameter (create_pr/review_pr/merge_pr example); fewer, more capable tools reduce selection ambiguity",2026-09-21,check-D8,"verified, no change"
ccdvf-tool-namespacing,concept,https://www.anthropic.com/engineering/writing-tools-for-agents,"Namespacing by service and resource (asana_search, jira_search, asana_projects_search, asana_users_search); prefix vs suffix placement can have meaningful effects on evals, test both; unambiguous parameter names user_id not user",2026-09-21,check-D8,"verified, no change"
ccdvf-tool-namespacing,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-search-tool,"Consistent namespacing so one search matches the whole group; system prompt section 'You can search for tools to interact with Slack, GitHub, and Jira'",2026-09-21,check-D8,"verified, no change"
ccdvf-high-signal-tool-responses,concept,https://www.anthropic.com/engineering/writing-tools-for-agents,"Return high-signal information; semantic identifiers over UUIDs improves precision; response_format enum concise/detailed, Slack example 206 vs 72 tokens; pagination/filtering/truncation with sensible defaults; response structure (XML/JSON/Markdown) affects performance",2026-09-21,check-D8,"verified, no change"
ccdvf-high-signal-tool-responses,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/define-tools,"Design tool responses to return only high-signal information; semantic stable identifiers (slugs, UUIDs) rather than opaque internal references; only fields Claude needs",2026-09-21,check-D8,"verified, no change"
ccdvf-tool-error-messages-as-interface,concept,https://www.anthropic.com/engineering/writing-tools-for-agents,Errors should be helpful and actionable rather than opaque codes or tracebacks; steer agents toward targeted searches instead of one broad search; guide to correctly formatted inputs,2026-09-21,check-D8,"verified, no change"
ccdvf-tool-error-messages-as-interface,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/handle-tool-calls,Write instructive error messages (e.g. 'Rate limit exceeded. Retry after 60 seconds.'); is_error: true on tool_result,2026-09-21,check-D8,"verified, no change"
ccdvf-skill-progressive-disclosure,concept,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/overview,"Level 1 metadata always loaded ~100 tokens per Skill; Level 2 SKILL.md body when triggered, under 5k tokens; Level 3 resources/scripts as needed, none until accessed; scripts run via bash, only output enters context; pdf-processing example with FORMS.md not read when not needed",2026-09-21,check-D8,"verified, no change"
ccdvf-skill-md-required-fields,concept,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/overview,"Required name and description; name max 64 chars lowercase letters/numbers/hyphens, no XML tags, no reserved words anthropic/claude; description non-empty, max 1024 chars, no XML tags, must say what and when",2026-09-21,check-D8,"verified, no change"
ccdvf-server-tool-use-block,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/server-tools,server_tool_use id prefix srvtoolu_; result block (e.g. web_search_tool_result) follows in same assistant turn paired by tool_use_id; no tool_result needed; mixed turn leaves server_tool_use without result,2026-09-21,check-D8,"A: ""the only time a server_tool_use arrives without its result is a mixed turn"" corrected: a pause_turn response can also end with an unrun server_tool_use (server-tools page); both cases named"
ccdvf-server-tool-use-block,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-search-tool,Never return a tool_result for a srvtoolu_ id: the API rejects the request,2026-09-21,check-D8,"A: ""the only time a server_tool_use arrives without its result is a mixed turn"" corrected: a pause_turn response can also end with an unrun server_tool_use (server-tools page); both cases named"
ccdvf-agent-sdk-inprocess-mcp,concept,https://code.claude.com/docs/en/agent-sdk/custom-tools,"@tool / tool() with name, description, schema (dict of types or JSON Schema in Python; Zod in TS), async handler returning content array (+ is_error, structuredContent); create_sdk_mcp_server runs in-process; mcp_servers option; name mcp__{server_name}__{tool_name}; allowed_tools incl. wildcard mcp__weather__*",2026-09-21,check-D8,"verified, no change"
ccdvf-mcp-tool-naming-claude-code,concept,https://code.claude.com/docs/en/mcp,"mcp__<server-name>__<tool-name>; plugin servers mcp__plugin_<plugin>_<server>__<tool>; use full names in permission rules, Skill allowed-tools, subagent tools, hook matchers",2026-09-21,check-D8,"verified, no change"
ccdvf-mcp-tool-naming-claude-code,concept,https://code.claude.com/docs/en/permissions,mcp__puppeteer matches any tool from server; mcp__puppeteer__* wildcard; mcp__puppeteer__puppeteer_navigate specific tool; allow rules require literal mcp__<server>__ prefix; deny/ask accept mcp__* glob,2026-09-21,check-D8,"verified, no change"
ccdvf-parallel-tool-calls-execution,concept,https://platform.claude.com/docs/en/agents-and-tools/tool-use/parallel-tool-use,"API prescribes no execution order (concurrent, sequential, mixed); one tool_result per tool_use all in one user message, before any text; separate user messages per result reduces parallel tool use; Claude 4+ parallel by default; system prompt to increase parallelism",2026-09-21,check-D8,"verified, no change"
ccdvf-tool-choice-modes,feature,https://platform.claude.com/docs/en/agents-and-tools/tool-use/define-tools,"tool_choice auto (default with tools) / any / tool / none (default without tools); any and tool prefill so no text before tool_use; any/tool unsupported with manual thinking (enabled) and return 400 on Fable 5.1 / Mythos 5.1; any + strict guarantee; changing tool_choice invalidates cached message blocks, tools and system remain cached",2026-09-21,check-D8,"verified, no change"
ccdvf-tool-search-threshold,feature,https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-search-tool,"Use when ≥10 tools, definitions >10k tokens, accuracy drops, 200+ MCP tools; standard when <10 tools or <100 tokens; regex 20251119 (Python re.search, 200 chars) and bm25 20251119 (500 chars); at least one non-deferred tool else 400; deferred definitions still sent; up to 5 tool_reference per search, limit 1–10,000; max 10,000 deferred; ~55k tokens multiserver reduced >85%; accuracy degrades past 30–50 tools; keep 3–5 hot tools non-deferred",2026-09-21,check-D8,"verified, no change"
