uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-cdn-edge-caching-pattern,pattern,new,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/Expiration.html,Default TTL is 24 hours when the origin sends no Cache-Control max-age; Cache-Control max-age / s-maxage / Expires and min/max/default TTL interaction table,2026-09-21,check-B4.6,"A: ""stay cached 24 hours"" reworded to ""for the 24-hour default TTL"" (Expiration.html: default TTL 24 h applies when origin sends no Cache-Control max-age)"
aws-cdn-edge-caching-pattern,pattern,new,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/understanding-the-cache-key.html,Default cache key = distribution domain name + URL path only; adding query strings/headers/cookies via cache policy can cache duplicate objects and lower hit ratio; origin request policy forwards values without adding them to the key,2026-09-21,check-B4.6,"A: ""stay cached 24 hours"" reworded to ""for the 24-hour default TTL"" (Expiration.html: default TTL 24 h applies when origin sends no Cache-Control max-age)"
aws-cdn-edge-caching-pattern,pattern,new,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/origin-shield.html,Origin Shield = additional caching layer between regional edge caches and origin; consolidates duplicate requests into as few as one origin request; better cache hit ratio; not a fit for dynamic/low-cacheability content,2026-09-21,check-B4.6,"A: ""stay cached 24 hours"" reworded to ""for the 24-hour default TTL"" (Expiration.html: default TTL 24 h applies when origin sends no Cache-Control max-age)"
aws-cdn-edge-caching-pattern,pattern,new,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/DownloadDistS3AndCustomOrigins.html,"Supported origins: S3 bucket, MediaStore, MediaPackage, ALB, NLB, Lambda function URL, EC2 or any custom HTTP(S) server (on AWS or elsewhere), API Gateway as custom origin",2026-09-21,check-B4.6,"A: ""stay cached 24 hours"" reworded to ""for the 24-hour default TTL"" (Expiration.html: default TTL 24 h applies when origin sends no Cache-Control max-age)"
aws-dr-backup-and-restore,pattern,new,https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_planning_for_recovery_disaster_recovery.html,"Backup and restore (RPO in hours, RTO in 24 hours or less); pilot light (RPO minutes, RTO tens of minutes); warm standby (RPO seconds, RTO minutes); strategies listed in increasing cost and decreasing RTO/RPO; deploy infrastructure with IaC then restore data",2026-09-21,check-B4.6,
aws-dr-backup-and-restore,pattern,new,https://docs.aws.amazon.com/whitepapers/latest/disaster-recovery-workloads-on-aws/disaster-recovery-options-in-the-cloud.html,"Backup and restore: AWS Backup covers EBS, EC2, RDS/Aurora, DynamoDB, EFS, Storage Gateway, FSx and supports copying backups across Regions; S3 CRR for objects; AMIs can be copied across Regions; redeploy infrastructure with CloudFormation/CDK; restore is not automatic (schedule test restores)",2026-09-21,check-B4.6,
aws-db-instance-types-pattern,pattern,new,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.DBInstanceClass.Types.html,"db.m = general purpose balanced compute/memory; db.r/db.x/db.z = memory-optimized; db.t = burstable baseline with burst to full CPU, db.t3 and db.t4g configured for Unlimited mode (burst beyond baseline for additional charge), db.t2 recommended only for dev/test/non-production; g suffix (db.m6g, db.r6g) = AWS Graviton",2026-09-21,check-B4.6,"A: ""a Multi-AZ standby cannot serve reads"" scoped to ""a Multi-AZ DB instance's standby"" (Multi-AZ DB clusters have readable standbys); trimmed ""processors""/""which suits"" to hold 120 words"
aws-db-instance-types-pattern,pattern,new,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ModifyInstance.Settings.html,DB instance class change: 'Downtime occurs during this change'; applied immediately or in the next maintenance window,2026-09-21,check-B4.6,"A: ""a Multi-AZ standby cannot serve reads"" scoped to ""a Multi-AZ DB instance's standby"" (Multi-AZ DB clusters have readable standbys); trimmed ""processors""/""which suits"" to hold 120 words"
aws-db-instance-types-pattern,pattern,new,https://aws.amazon.com/rds/faqs/,"Multi-AZ scaling: 'These operations occur first on the standby, prior to automatic failover. As a result, your availability impact is limited to the time required for automatic failover to complete.'",2026-09-21,check-B4.6,"A: ""a Multi-AZ standby cannot serve reads"" scoped to ""a Multi-AZ DB instance's standby"" (Multi-AZ DB clusters have readable standbys); trimmed ""processors""/""which suits"" to hold 120 words"
aws-db-instance-types-pattern,pattern,new,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.html,"Read replica = read-only copy, replication is asynchronous, for read-heavy scale-out; must be created manually (no autoscaling of replicas); Multi-AZ standby cannot serve read traffic",2026-09-21,check-B4.6,"A: ""a Multi-AZ standby cannot serve reads"" scoped to ""a Multi-AZ DB instance's standby"" (Multi-AZ DB clusters have readable standbys); trimmed ""processors""/""which suits"" to hold 120 words"
