uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-abac-tag-based-access-mcq-05,mcq,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction_attribute-based-access-control.html; https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_iam-quotas.html; https://docs.aws.amazon.com/singlesignon/latest/userguide/abac.html; https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_boundaries.html,"ABAC: 'It's not necessary to change the policy to support a new project'; aws:PrincipalTag/aws:ResourceTag matching; Identity Center passes user attributes as session tags into permission sets; managed policy size limit 6,144 characters; permissions boundary 'limits the user's permissions but does not provide permissions on its own'",2026-09-21,check-B2.1,no change: every number and behavioural claim verified on the ledger source pages
aws-cross-account-s3-two-policies-mcq-13,mcq,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_evaluation-logic-cross-account.html; https://docs.aws.amazon.com/AmazonS3/latest/userguide/about-object-ownership.html; https://docs.aws.amazon.com/AmazonS3/latest/userguide/access-control-block-public-access.html,"'The request is allowed only if both evaluations return a decision of Allow' (identity policy in trusted account + resource policy in trusting account); Object Ownership default = Bucket owner enforced, ACLs disabled, bucket owner owns every object; Block Public Access on by default for new buckets",2026-09-21,check-B2.1,"stem: added ""and must stay private"" so the public-bucket distractor cannot be argued as fewer changes under LEAST amount of change; all facts verified on source pages"
aws-iam-groups-shared-permissions-mcq-04,mcq,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_groups.html; https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_iam-quotas.html; https://docs.aws.amazon.com/singlesignon/latest/userguide/permissionsetsconcept.html,"'User groups can't be nested; they can contain only users'; 'You cannot identify a user group as a Principal in a policy'; inline user policy aggregate size 2,048 characters; groups per account default 300; permission set = template of IAM policies, Identity Center creates a role per account (temporary credentials)",2026-09-21,check-B2.1,no change: every number and behavioural claim verified on the ledger source pages
aws-iam-mfa-for-destructive-api-mcq-02,mcq,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_mfa_configure-api-require.html; https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_condition-keys.html; https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html,"aws:MultiFactorAuthPresent present only with temporary credentials, absent for long-term access keys; Deny+Bool false NOT recommended, use BoolIfExists; ec2:TerminateInstances example with GetSessionToken; SCPs 'affect all users and roles in attached accounts' (roles used by services have no MFA context)",2026-09-21,check-B2.1,"option a + A: reworded to the documented pattern Deny + BoolIfExists aws:MultiFactorAuthPresent false (was ""unless ... true, using BoolIfExists""); verified on reference_policies_condition-keys.html and id_credentials_mfa_configure-api-require.html"
aws-root-user-hardening-mcq-01,mcq,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/root-user-best-practices.html; https://docs.aws.amazon.com/IAM/latest/UserGuide/intro-structure.html; https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html; https://docs.aws.amazon.com/IAM/latest/UserGuide/id_root-user.html,'Don't create access keys for the root user'; up to eight MFA devices on root; 'requests made using the AWS account root user credentials for resources in the account are always allowed' (IAM policies do not limit root); SCPs restrict member-account root user; SCPs don't affect management account; recommend Identity Center/roles for daily work,2026-09-21,check-B2.1,"option a: script goes to an IAM role (removed ""or Identity Center identity"", a workforce sign-in cannot run a nightly script); A: added that daily human work belongs in Identity Center or roles (must_teach); eight MFA devices and root-always-allowed verified"
aws-scp-restrict-regions-mcq-10,mcq,new,https://github.com/aws-samples/service-control-policy-examples/blob/main/Region-controls/Deny-access-to-AWS-based-on-the-requested-AWS-region.json (linked from https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps_examples.html); https://docs.aws.amazon.com/controltower/latest/userguide/region-deny.html; https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-regions.html; https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html,"Official SCP: Deny + NotAction (iam, organizations, route53, cloudfront, sts, support, kms, ...) + StringNotEquals aws:RequestedRegion + ArnNotLike aws:PrincipalARN exemption; Control Tower Region deny control is an SCP 'similar to the SCP for AWS Organizations, but not identical'; 17 default Regions 'cannot be disabled', only opt-in Regions can; SCP binds member-account root, never grants, no effect on management account",2026-09-21,check-B2.1,no change: every number and behavioural claim verified on the ledger source pages
aws-third-party-cross-account-role-mcq-07,mcq,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_common-scenarios_third-party.html; https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_iam-quotas.html,"'Do not give Example Corp access to an IAM user and its long-term credentials'; external ID prevents confused deputy; 'AWS does not treat the external ID as a secret'; external ID generated by the third party, one per customer; AssumeRole returns temporary credentials; ExternalId 2-1,224 chars; role session 15 min to 12 h",2026-09-21,check-B2.1,no change: every number and behavioural claim verified on the ledger source pages
aws-block-single-ip-nacl-mcq-18,mcq,new,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-network-acls.html; https://docs.aws.amazon.com/vpc/latest/userguide/security-group-rules.html; https://docs.aws.amazon.com/waf/latest/developerguide/what-is-aws-waf.html; https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Route_Tables.html,"NACL rules numbered 1-32766, 'evaluate the rules in order, starting with the lowest numbered rule', first match wins, stateless, no charge; 'You can specify allow rules, but not deny rules' (security groups); WAF protects CloudFront, API Gateway REST, ALB, AppSync, Cognito, App Runner, AgentCore Gateway, Verified Access, Amplify (not EC2 directly); 'Traffic is routed to targets based on its destination IP address'; Shield Advanced = DDoS for EC2/ELB/CloudFront/Route 53/Global Accelerator",2026-09-21,check-B2.1,no change: every number and behavioural claim verified on the ledger source pages
aws-nat-gateway-per-az-mcq-20,mcq,new,https://docs.aws.amazon.com/vpc/latest/userguide/nat-gateway-basics.html; https://docs.aws.amazon.com/vpc/latest/userguide/nat-gateway-pricing.html; https://docs.aws.amazon.com/vpc/latest/userguide/nat-gateways-regional.html; https://docs.aws.amazon.com/vpc/latest/userguide/amazon-vpc-limits.html,"'Each NAT gateway is created in a specific Availability Zone and implemented with redundancy in that zone'; 'if the NAT gateway's Availability Zone is down, resources in the other Availability Zones lose internet access... create a NAT gateway in each Availability Zone, and configure your routing'; cross-AZ traffic to a NAT incurs data transfer charges, mitigated by one NAT per AZ; regional NAT gateway mode auto-expands across AZs; NAT gateways per AZ quota 5",2026-09-21,check-B2.1,no change: every number and behavioural claim verified on the ledger source pages
aws-private-egress-to-s3-dynamodb-mcq-22,mcq,new,"https://docs.aws.amazon.com/vpc/latest/privatelink/gateway-endpoints.html; https://docs.aws.amazon.com/vpc/latest/privatelink/vpc-endpoints-s3.html; https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/us-east-1/index.json (NatGateway-Hours, NatGateway-Bytes); https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonVPC/current/us-east-1/index.json (USE1-VpcEndpoint-Hours, USE1-VpcEndpoint-Bytes); https://aws.amazon.com/privatelink/pricing/","'There is no additional charge for using gateway endpoints'; gateway endpoints only for S3 and DynamoDB, prefix-list route in route table, no IGW/NAT needed; 'gateway endpoints do not allow access from on-premises networks, from peered VPCs in other AWS Regions, or through a transit gateway'; aws:sourceVpce bucket policy; NAT gateway us-east-1 $0.045/hour + $0.045/GB; interface endpoint us-east-1 $0.01/hour per endpoint per AZ + $0.01/GB first 1 PB",2026-09-21,check-B2.1,no change: every number and behavioural claim verified on the ledger source pages
aws-rds-publicly-accessible-fix-mcq-23,mcq,new,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_VPC.WorkingWithRDSInstanceinaVPC.html; https://docs.aws.amazon.com/waf/latest/developerguide/what-is-aws-waf.html,"Publicly accessible: DNS resolves to private IP inside VPC / public IP outside; 'Access to the DB instance is ultimately controlled by the security group it uses'; 'for a DB instance to be publicly accessible, the subnets in its DB subnet group must have an internet gateway'; 'You can modify a DB instance to turn on or off public accessibility'; DB subnet group needs subnets in at least two AZs; modifying DB subnet group can cause downtime; RDS not in WAF's protected resource list",2026-09-21,check-B2.1,"option a: ""Place the instance in private subnets"" (a DB subnet group cannot be swapped inside the same VPC by ModifyDBInstance); A: corrected downtime claim - PubliclyAccessible change is immediate with no downtime, DB subnet group change causes an outage (https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ModifyInstance.Settings.html; https://docs.aws.amazon.com/AmazonRDS/latest/APIReference/API_ModifyDBInstance.html)"
aws-three-tier-security-group-chain-mcq-19,mcq,new,https://docs.aws.amazon.com/vpc/latest/userguide/security-group-rules.html; https://docs.aws.amazon.com/vpc/latest/userguide/amazon-vpc-limits.html; https://docs.aws.amazon.com/vpc/latest/userguide/vpc-network-acls.html,"Security group referencing matches 'the private IP addresses from the network interfaces' of the referenced group; 'No rules from the referenced security group are added'; official three-tier example (ALB 0.0.0.0/0 -> web from ALB SG -> DB from web SG); 'A rule that references another security group counts as one rule'; inbound/outbound rules per SG default 60; NACLs stateless, cannot reference security groups",2026-09-21,check-B2.1,no change: every number and behavioural claim verified on the ledger source pages
