uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-control-tower-new-landing-zone-mcq-11,mcq,new,https://docs.aws.amazon.com/controltower/latest/userguide/what-is-control-tower.html | https://docs.aws.amazon.com/controltower/latest/userguide/how-control-tower-works.html,"Landing zone = multi-account environment; three control kinds (preventive, detective, proactive) and three guidance categories (mandatory, strongly recommended, elective); Account Factory is a configurable account template built on Service Catalog provisioned products; Control Tower orchestrates Organizations, Service Catalog and IAM Identity Center; landing zone <= 3.3 creates Log Archive and Audit shared accounts in the Security OU; preventive controls not applied to the management account",2026-09-21,check-B4.1,A: 'creates the log archive and audit shared accounts' -> 'sets up (or enrolls) the shared log archive and audit accounts for CloudTrail and Config' (landing zone 4.0 no longer requires the Security OU; accounts for service integrations are created or enrolled)
aws-identity-account-hub-roles-mcq-09,mcq,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_terms-and-concepts.html | https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html,Delegation = trust policy on the role in the trusting account + permissions policy in the trusted account allowing AssumeRole (two halves); assuming a role replaces the caller's own permissions for the session; trust policy cannot use a wildcard in a principal ARN; SCPs never grant permissions,2026-09-21,check-B4.1,"OPT d text + WHY: an AWS account's IAM users are not an Identity Center identity source (sources: Identity Center directory, Active Directory, external IdP); distractor now creates users in the Identity Center store with no permission sets, WHY explains both the missing assignments and that it replaces rather than fixes the hub-role model"
aws-identity-center-with-ad-connector-mcq-16,mcq,new,https://docs.aws.amazon.com/directoryservice/latest/admin-guide/directory_ad_connector.html | https://docs.aws.amazon.com/singlesignon/latest/userguide/manage-your-identity-source-ad.html | https://docs.aws.amazon.com/directoryservice/latest/admin-guide/directory_simple_ad.html,"AD Connector is a directory gateway that redirects requests to on-premises AD without caching any information in the cloud; two sizes (small, large); supports RADIUS MFA; does not support transitive trusts; Identity Center accepts AD Connector or AWS Managed Microsoft AD residing in the management (or delegated admin) account; Identity Center does not support SAMBA 4-based Simple AD; no password information is synchronized to Identity Center; Managed Microsoft AD requires trust relationships for self-managed AD; Simple AD does not support trust relationships with other domains, MFA or IAM Identity Center, and is no longer open to new customers",2026-09-21,check-B4.1,WHY c: added 'is no longer open to new customers' (Simple AD availability notice)
aws-managed-vs-inline-policy-choice-mcq-06,mcq,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_managed-vs-inline.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies-choosing-managed-or-inline.html,You cannot change the permissions defined in AWS managed policies; customer managed policies can be attached to many principals and updated centrally; IAM stores up to five versions of a customer managed policy for rollback; inline policies keep a strict one-to-one relationship and are deleted with the identity; inline policy change must be edited in each identity individually,2026-09-21,check-B4.1,
aws-protect-cloudtrail-org-wide-mcq-12,mcq,new,https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html | https://docs.aws.amazon.com/awscloudtrail/latest/userguide/creating-trail-organization.html | https://docs.aws.amazon.com/organizations/latest/APIReference/API_LeaveOrganization.html,"SCPs affect all users and roles in member accounts including the root user; SCPs do not affect the management account; SCPs never grant; organization trail created by management account or CloudTrail delegated administrator, copied into member accounts, logs to a single S3 bucket; member account users cannot delete organization trails, turn logging on/off or change them; LeaveOrganization is called from the member account and SCPs can prevent it",2026-09-21,check-B4.1,
aws-role-chaining-one-hour-limit-mcq-08,mcq,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_terms-and-concepts.html | https://docs.aws.amazon.com/STS/latest/APIReference/API_AssumeRole.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_temp_request.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_sts-comparison.html,Role chaining = using a role to assume a second role; limits session to a maximum of one hour regardless of MaxSessionDuration; DurationSeconds up to 43200 s (12 hours) depending on the role's maximum session duration; DurationSeconds > 1 hour in a chained AssumeRole fails; maximum session duration setting ranges 1 to 12 hours; AssumeRole credentials cannot call GetSessionToken; GetSessionToken is for an existing IAM user; STS comparison table: AssumeRole credentials 'Cannot call GetFederationToken or GetSessionToken'; GetSessionToken callable by IAM user or root only,2026-09-21,check-B4.1,
aws-service-principal-resource-policy-mcq-15,mcq,new,https://docs.aws.amazon.com/AmazonS3/latest/userguide/grant-destinations-permissions-to-s3.html | https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html | https://docs.aws.amazon.com/AmazonS3/latest/API/API_PutBucketNotificationConfiguration.html,"S3 publishes to SNS/SQS via a policy attached to the destination topic/queue allowing Principal Service s3.amazonaws.com with SNS:Publish / SQS:SendMessage; example uses aws:SourceArn (bucket ARN) and aws:SourceAccount (bucket owner) conditions; Lambda destination permission is set on the Lambda function; KMS-encrypted destination needs key policy allowing s3.amazonaws.com kms:GenerateDataKey and kms:Decrypt; SCPs never grant; PutBucketNotificationConfiguration sends a test message to the SNS/SQS destination and 'If the message fails, the entire PUT action will fail, and Amazon S3 will not add the configuration to your bucket'",2026-09-21,check-B4.1,"Q stem: 'configuration is already written, but a test upload produces no message' was impossible (S3 validates the destination and rejects the PUT); now 'S3 sends a test message, the test fails, and S3 rejects the configuration'. A: added the configuration-time validation sentence"
aws-web-identity-federation-mobile-mcq-17,mcq,new,https://docs.aws.amazon.com/cognito/latest/developerguide/iam-roles.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_terms-and-concepts.html,Identity pools generate temporary AWS credentials tied to an authenticated or unauthenticated IAM role; trust policy principal Federated cognito-identity.amazonaws.com with sts:AssumeRoleWithWebIdentity and a required cognito-identity.amazonaws.com:aud condition (amr authenticated recommended); access policy example scopes s3:GetObject/PutObject to bucket/${cognito-identity.amazonaws.com:sub}/*; Identity Center users are the people in your workforce,2026-09-21,check-B4.1,"WHY c: removed the claim that per-user scoping 'still needs the identity pool's sub variable' (direct OIDC federation has its own provider sub variables); now says Google issues an OIDC token not a SAML assertion, so AssumeRoleWithSAML has nothing to consume, and the app would broker tokens and refresh credentials itself"
aws-alb-only-public-tier-mcq-25,mcq,new,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-example-private-subnets-nat.html,"Reference architecture: servers in private subnets receive requests through the load balancer, NAT gateway in each public subnet (one per AZ) for outbound internet, public subnet route 0.0.0.0/0 -> igw, private subnet route 0.0.0.0/0 -> nat-gateway; server security group allows listener and health-check traffic from the load balancer security group",2026-09-21,check-B4.1,"WHY c: the option moves instances to private subnets without public IPs, so the old WHY ('instances there with public addresses become reachable') did not match; now explains an IGW route makes the subnet public and an IGW only carries traffic for instances with a public IP, so either they become reachable again or still cannot patch"
aws-encrypt-direct-connect-traffic-mcq-31,mcq,new,https://docs.aws.amazon.com/directconnect/latest/UserGuide/encryption-in-transit.html | https://docs.aws.amazon.com/directconnect/latest/UserGuide/MACsec.html | https://docs.aws.amazon.com/vpn/latest/s2svpn/private-ip-dx.html | https://docs.aws.amazon.com/directconnect/latest/UserGuide/WorkingWithVirtualInterfaces.html | https://docs.aws.amazon.com/vpn/latest/clientvpn-admin/what-is.html,"Direct Connect does not encrypt traffic in transit by default; Site-to-Site VPN over Direct Connect gives an IPsec-encrypted connection; MACsec is layer 2 point-to-point between customer router and Direct Connect location; MACsec supported on 10, 100 and 400 Gbps dedicated connections at selected PoPs and not supported on hosted connections; previously customers used a public VIF for VPN over Direct Connect (public IPs for VPN endpoints), private IP VPN uses a transit VIF; private VIF = VPC access via private IPs; Client VPN is a managed client-based VPN using an OpenVPN client",2026-09-21,check-B4.1,
