uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-least-privilege-pattern,pattern,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_last-accessed.html,Best-practice list: apply least privilege (actions on specific resources under specific conditions); start with AWS managed policies then move to customer managed; Access Analyzer generates policies from CloudTrail activity; use conditions; last accessed information tracking period for services is at least 400 days; recent activity appears within four hours,2026-09-21,check-B2.5,"A: reworded last-accessed sentence: 400-day tracking period applies to service information (action tracking starts per service), was ""services and actions over at least 400 days"""
aws-mfa-pattern,pattern,new,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_mfa.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_condition-keys.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_mfa_configure-api-require.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/MultiFactorAuthenticationDelete.html | https://docs.aws.amazon.com/cognito/latest/developerguide/user-pool-settings-mfa.html,"MFA types: passkeys/security keys, virtual authenticator apps (TOTP), hardware TOTP tokens; root and IAM users can register up to eight devices; aws:MultiFactorAuthPresent present only with temporary credentials and absent for access-key requests; recommended Deny + BoolIfExists false; AssumeRole temporary credentials do not include MFA information in context; MFA-protected API access cannot be used with root credentials; S3 MFA delete only bucket owner (root account) via CLI/API not console; IAM Identity Center has its own MFA",2026-09-21,check-B2.5,"A: SCP trap made mechanistically precise: role sessions (EC2, Lambda, AssumeRole) carry no MFA info so aws:MultiFactorAuthPresent reads false and a Deny in an SCP blocks every workload role; trimmed to 120 words; Cognito user-pool MFA verified"
aws-network-traffic-control-concept,concept,new,https://docs.aws.amazon.com/vpc/latest/userguide/infrastructure-security.html | https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html,"Comparison table: SG instance level / allow only / evaluates all rules / stateful; NACL subnet level / allow and deny / ascending order until match / stateless; security groups the primary mechanism and NACLs stateless coarse-grain secondary control; SG rules can reference other SGs; traffic flows IGW -> route table -> NACL -> SG; Network Firewall filters at VPC perimeter using stateful Suricata IPS rules and domain lists, steered by route tables via firewall endpoints",2026-09-21,check-B2.5,none
aws-kms-key-policy-grants,pattern,new,https://docs.aws.amazon.com/kms/latest/developerguide/key-policy-default.html | https://docs.aws.amazon.com/kms/latest/developerguide/key-policy-modifying-external-accounts.html | https://docs.aws.amazon.com/kms/latest/developerguide/grants.html | https://docs.aws.amazon.com/kms/latest/developerguide/conditions-kms.html,"Key policy does not automatically give the account permission; 'Enable IAM User Permissions' statement kms:* to account root enables IAM policies and without it IAM allow policies are ineffective; key administrators statement (kms:Create*, Put*, ScheduleKeyDeletion etc.) has no cryptographic permissions; key users statement Encrypt/Decrypt/ReEncrypt*/GenerateDataKey*/DescribeKey; grant statement conditioned on kms:GrantIsForAWSResource; cross-account needs key policy AND IAM policy in external account, neither alone sufficient; grants used by integrated services and retired when done; kms:ViaService example ec2.us-west-2.amazonaws.com",2026-09-21,check-B2.5,none
aws-tls-in-transit-pattern,pattern,new,https://docs.aws.amazon.com/acm/latest/userguide/acm-services.html | https://docs.aws.amazon.com/elasticloadbalancing/latest/application/load-balancer-target-groups.html | https://docs.aws.amazon.com/elasticloadbalancing/latest/application/create-https-listener.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/security-best-practices.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/PostgreSQL.Concepts.General.SSL.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/mysql-ssl-connections.require-ssl.html,"ACM integrated services list (ELB, CloudFront, API Gateway, ...); associating an ACM-managed certificate directly with EC2 requires a Nitro Enclave; ACME/exportable certificates for instances; ALB HTTPS target group: load balancer does not validate target certificates, self-signed or expired accepted; NLB/CLB TCP 443 listener passes encrypted traffic without decrypting; S3 best practice aws:SecureTransport deny; rds.force_ssl default 1 for PostgreSQL 15+ and 0 for 14 and older; require_secure_transport default OFF, no reboot needed",2026-09-21,check-B2.5,none
aws-stateless-vs-stateful-workloads,pattern,new,https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_mitigate_interaction_failure_stateless.html | https://docs.aws.amazon.com/elasticloadbalancing/latest/application/edit-target-group-attributes.html | https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/TTL.html,"REL05-BP06: no dependence on locally stored data on disk or memory, servers replaced at will, horizontal scaling because any compute can service any request, then Lambda/Fargate; offload session data to ElastiCache, DynamoDB, EFS, MemoryDB; S3 for large unstructured data; ALB sticky sessions bind a session to a target, useful for servers that maintain state, duration 1 second to 7 days, unhealthy or deregistered target -> new target selected; DynamoDB TTL deletes expired items within a few days without consuming write throughput",2026-09-21,check-B2.5,none
aws-dr-pilot-light,pattern,new,https://docs.aws.amazon.com/whitepapers/latest/disaster-recovery-workloads-on-aws/disaster-recovery-options-in-the-cloud.html | https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_planning_for_recovery_disaster_recovery.html,"Pilot light: data replication resources always on, application servers loaded but switched off (best practice: not deployed); replication options S3 Replication, RDS read replicas, Aurora global databases, DynamoDB global tables; promoting non-Aurora RDS read replica takes a few minutes and includes a reboot; Aurora global database promotion in less than one minute; Route 53 / ARC / Global Accelerator for traffic; REL13-BP02: pilot light RPO in minutes, RTO in tens of minutes; continuous replication does not protect against corruption so keep point-in-time backups",2026-09-21,check-B2.5,none
aws-dr-warm-standby,pattern,new,https://docs.aws.amazon.com/whitepapers/latest/disaster-recovery-workloads-on-aws/disaster-recovery-options-in-the-cloud.html | https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_planning_for_recovery_disaster_recovery.html,"Warm standby: scaled down but fully functional copy always on; pilot light cannot process requests without additional action whereas warm standby can handle traffic at reduced capacity immediately; scale up by raising Auto Scaling group desired capacity; Auto Scaling is a control plane activity so provisioning enough capacity for initial traffic lowers the dependency; ensure service quotas in DR Region; REL13-BP02: warm standby RPO in seconds, RTO in minutes; multi-site active/active most complex and costly",2026-09-21,check-B2.5,none
aws-d4-storage-services-use-cases,concept,new,https://aws.amazon.com/s3/pricing/ | https://aws.amazon.com/ebs/pricing/ | https://aws.amazon.com/efs/pricing/,"US East (N. Virginia) via the pricing pages' price feed (b0.p.awsstatic.com meteredUnitMaps): S3 Standard first 50 TB $0.023 per GB-month; EBS gp3 $0.08 per GB-month (gp2 $0.10) with 3,000 IOPS and 125 MB/s baseline included; EFS Standard (General Purpose, Regional) $0.30 per GB-month; ratios computed: 0.30/0.023 = 13.0x S3 Standard, 0.30/0.08 = 3.75x gp3. NOTE: backlog row said 'EFS ~3x S3'; the primary prices show ~13x S3 and ~3.75x gp3, card states the verified ratios",2026-09-21,check-B2.5,"none (S3 Standard 0.023, gp3 0.08 / gp2 0.10, EFS General Purpose 0.30 re-read from the US East price feed 2026-09-21)"
aws-d4-pat-s3-intelligent-tiering,pattern,new,https://docs.aws.amazon.com/AmazonS3/latest/userguide/intelligent-tiering-overview.html | https://aws.amazon.com/s3/pricing/ | https://docs.aws.amazon.com/AmazonS3/latest/userguide/storage-class-intro.html,"Infrequent Access after 30 consecutive days, Archive Instant Access after 90; optional Archive Access minimum 90 days and Deep Archive Access minimum 180 days, both configurable up to 730; access moves object back to Frequent; objects smaller than 128 KB not monitored, not eligible for tiering, always Frequent Access tier; storage class stays Intelligent-Tiering; pricing feed US East: monitoring and automation fee $0.0000025 per object per month = $0.0025 per 1,000 objects; Frequent Access first 50 TB $0.023 per GB-month same as S3 Standard; Infrequent $0.0125; Archive Instant $0.004; no retrieval charges and no additional tiering charges (pricing page text)",2026-09-21,check-B2.5,"none (30/90/90-730/180-730 days, 128 KB, $0.0000025 per object-month = $0.0025 per 1,000, Frequent = Standard 0.023, min storage duration None re-verified)"
