uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-db-password-rotation-no-code-mcq-28,mcq,new,https://docs.aws.amazon.com/secretsmanager/latest/userguide/rotate-secrets_managed.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-secrets-manager.html | https://docs.aws.amazon.com/systems-manager/latest/userguide/systems-manager-parameter-store.html | https://docs.aws.amazon.com/secretsmanager/latest/userguide/intro.html | https://docs.aws.amazon.com/secretsmanager/latest/userguide/rotate-secrets_lambda.html,"Managed rotation: 'you don't use an AWS Lambda function'; RDS/Aurora/DocumentDB/Redshift offer managed rotation; RDS 'rotates the secret every seven days by default', schedule modifiable as rate()/cron(), as often as every four hours; Parameter Store comparison table 'Credential rotation: None'; Secrets Manager intro recommends KMS for encryption keys (not secrets)",2026-09-21,check-B2.2,stem now says the app uses the master user credentials (managed rotation covers only the master user); A adds 'as often as every four hours' and the master-user-only limit with the Lambda-template route for app users
aws-waf-rate-based-http-flood-mcq-26,mcq,new,https://docs.aws.amazon.com/waf/latest/developerguide/waf-rule-statement-type-rate-based-high-level-settings.html | https://docs.aws.amazon.com/waf/latest/developerguide/waf-rule-statement-type-rate-based.html | https://docs.aws.amazon.com/waf/latest/developerguide/ddos-standard-summary.html | https://docs.aws.amazon.com/vpc/latest/userguide/amazon-vpc-limits.html | https://docs.aws.amazon.com/vpc/latest/userguide/security-group-rules.html,"Evaluation window valid values 60/120/300/600 s, default 300; lowest rate limit 10; aggregation by source IP / forwarded IP / custom keys; scope-down statement; Bot Control managed rule group can also rate limit (extra fee); Shield Standard automatic, no additional charge, 'network and transport layer DDoS attacks'; NACL rules per ACL default 20, max 40 inbound + 40 outbound; security groups 'allow rules, but not deny rules'",2026-09-21,check-B2.2,"NACL quota made precise: 20 inbound rules default, 40 max after quota increase (WHY b and A)"
aws-acm-cert-region-for-cloudfront-mcq-39,mcq,new,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/cnames-and-https-requirements.html | https://docs.aws.amazon.com/acm/latest/userguide/export-public-certificate.html | https://docs.aws.amazon.com/acm/latest/userguide/acm-public-certificates.html,'request (or import) the certificate in the US East (N. Virginia) Region (us-east-1)' for viewer HTTPS; ELB origin cert may be in any Region; CloudFront trusts CAs on Mozilla Included CA list; ACM does not release private keys; export: public certs created before 2025-06-17 cannot be exported (export is opt-in at request),2026-09-21,check-B2.2,WHY d reworded to the documented rule: viewer cert from ACM or a CA on the Mozilla Included CA list; exportable-at-request claim confirmed on acm-public-certificates page
aws-kms-cross-account-decrypt-mcq-42,mcq,new,https://docs.aws.amazon.com/kms/latest/developerguide/key-policy-modifying-external-accounts.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/UsingKMSEncryption.html | https://docs.aws.amazon.com/ram/latest/userguide/shareable.html,'Neither the key policy nor the IAM policy alone is sufficient—you must change both'; key policy names external account root or specific role; IAM policy in external account with key ARN as Resource; cross-account effective for cryptographic ops + DescribeKey; S3: download of SSE-KMS object needs kms:Decrypt; 'Objects encrypted using SSE-KMS with AWS managed keys can't be shared cross-account'; RAM shareable resources list contains no AWS KMS resource type,2026-09-21,check-B2.2,none (all numbers and claims verified on source_url)
aws-object-lock-compliance-vs-governance-mcq-47,mcq,new,https://docs.aws.amazon.com/AmazonS3/latest/userguide/object-lock.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/MultiFactorAuthenticationDelete.html,"Compliance mode: cannot be overwritten or deleted by any user including root; retention mode can't be changed, period can't be shortened; only way out is deleting the AWS account; governance mode overridable with s3:BypassGovernanceRetention + x-amz-bypass-governance-retention:true header; 'Object Lock works only in buckets that have S3 Versioning enabled'; retention in days or years; MFA delete: only bucket owner (root account) can enable, protects permanent version deletes and versioning state changes, enable/disable via same PutBucketVersioning API",2026-09-21,check-B2.2,none (all numbers and claims verified on source_url)
aws-rds-encrypt-existing-instance-mcq-37,mcq,new,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Overview.Encryption.html | https://docs.aws.amazon.com/ebs/latest/userguide/encryption-by-default.html,"'You can only encrypt an Amazon RDS DB instance when you create it, not after'; snapshot -> encrypted copy -> restore procedure; 'You can't have an encrypted read replica of an unencrypted DB instance'; 'You can't create an encrypted snapshot of an unencrypted DB instance'; TDE for Oracle/SQL Server is separate from RDS encryption at rest; EBS encryption by default applies to new EBS volumes and snapshot copies, 'has no effect on existing EBS volumes', Region-specific EC2 setting",2026-09-21,check-B2.2,none (all numbers and claims verified on source_url)
aws-s3-deny-non-tls-mcq-41,mcq,new,https://docs.aws.amazon.com/AmazonS3/latest/userguide/example-bucket-policies.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/amazon-s3-policy-keys.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/security-best-practices.html,"RestrictToTLSRequestsOnly example: Effect Deny, Action s3:*, Condition Bool aws:SecureTransport false, Principal *; s3:TlsVersion NumericLessThan 1.2 example; best practice recommends aws:SecureTransport deny plus s3-bucket-ssl-requests-only Config rule; Block Public Access described as centralized controls to limit public access",2026-09-21,check-B2.2,none (all numbers and claims verified on source_url)
aws-asg-predictable-daily-spike-mcq-05,mcq,new,https://docs.aws.amazon.com/autoscaling/ec2/userguide/ec2-auto-scaling-scheduled-scaling.html | https://docs.aws.amazon.com/autoscaling/ec2/userguide/predictive-scaling-policy-overview.html | https://docs.aws.amazon.com/autoscaling/ec2/userguide/ec2-auto-scaling-warm-pools.html,"Scheduled action sets desired/min/max at a date-time, recurring via cron with time zone (DST-aware); can be combined with scaling policies; may run up to 2 minutes late; max 125 scheduled actions per group; predictive scaling needs at least 24 hours of metric data, analyses up to 14 days, forecasts 48 hours, updates every 6 hours, never scales in; warm pool = pre-initialized instances drawn on 'whenever your application needs to scale out' (still policy-triggered)",2026-09-21,check-B2.2,none (all numbers and claims verified on source_url)
aws-order-queue-between-tiers-mcq-01,mcq,new,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-visibility-timeout.html | https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/quotas-messages.html | https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-using-sqs-queue.html | https://docs.aws.amazon.com/sns/latest/dg/sns-message-delivery-retries.html | https://docs.aws.amazon.com/streams/latest/dev/service-sizes-and-limits.html,"Visibility timeout default 30 s, max 12 hours; undeleted message becomes visible again for another consumer; retention default 4 days, max 14 days (1,209,600 s); scale on backlog per instance (ApproximateNumberOfMessages / InService instances), raw queue length not proportional; SNS: when delivery policy exhausted 'discards the message—unless a dead-letter queue is attached', HTTP/S total retry time max 3,600 s; Kinesis provisioned shard 1 MB/s or 1,000 records/s write, 2 MB/s read",2026-09-21,check-B2.2,none (all numbers and claims verified on source_url)
aws-rds-reporting-read-replica-mcq-07,mcq,new,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ModifyInstance.Settings.html | https://docs.aws.amazon.com/AmazonElastiCache/latest/dg/Strategies.html,"Read replica use case 'business reporting queries to run against a read replica'; asynchronous replication; 'Unlike a read replica, a standby replica can't serve read traffic'; applications connect to replica like any DB instance; DB instance class change: 'Downtime occurs during this change'; ElastiCache lazy loading / write-through implemented in application code (app checks cache, queries DB on miss, writes cache)",2026-09-21,check-B2.2,"stem clarified to 'Multi-AZ DB instance deployment (one primary, one standby)' so Multi-AZ DB cluster reader instances are excluded"
