EVENT_DATE,DECK_SLUG,CARD_STABLE_UID,CARD_REVISION,STATED_DIFFICULTY,REVIEW_COUNT,UNIQUE_USER_COUNT,FIRST_REVIEW_COUNT,OBSERVED_DIFFICULTY_RAW,EASY_RATE,GOOD_RATE,HARD_RATE,AGAIN_RATE,STRUGGLE_RATE,FAILURE_RATE,FIRST_REVIEW_EASY_RATE,REPEAT_FAILURE_RATE,MEDIAN_DWELL_TIME_MS,HIGH_LEVEL_USER_FAILURE_RATE,REVIEW_COUNT_TO_MASTERY,EXPECTED_DIFFICULTY,EXPECTED_STDDEV,EXPECTED_DWELL_TIME_MS,DIFFICULTY_GAP,DIFFICULTY_GAP_Z,DWELL_TIME_GAP_Z,DIFFICULTY_CALIBRATION_STATUS,CONTENT_QUALITY_STATUS,CONFIDENCE_LEVEL,FIX_PRIORITY_SCORE
2026-05-07,content-intelligence-demo,ci-d1-unclear,1,1,120,40,40,3.666667,0.000000,0.000000,0.333333,0.666667,1.000000,0.666667,0.000000,1.000000,66000.000,0.666667,,0.758333,1.317220938,8500.000,2.908334,2.207931802,2.888774099,Difficulty Understated,Possibly Unclear,High,481.7
2026-05-07,content-intelligence-demo,ci-d1-understated,1,1,40,40,40,3.200000,0.000000,0.000000,0.800000,0.200000,1.000000,0.200000,0.000000,,39250.000,0.200000,,0.758333,1.317220938,8500.000,2.441667,1.85365031,1.544866149,Difficulty Understated,Possibly Unclear,Medium,157.33
2026-05-07,content-intelligence-demo,ci-d3-too-shallow,1,3,40,40,40,0.100000,0.900000,0.100000,0.000000,0.000000,0.000000,0.000000,0.900000,,4800.000,0.000000,1.000000,2.075000,1.172035836,26850.000,-1.975000,-1.685102059,-2.676278834,Difficulty Overstated,Too Shallow,Medium,87.61
2026-05-07,content-intelligence-demo,ci-d3-productive,1,3,40,40,40,2.100000,0.000000,0.500000,0.400000,0.100000,0.500000,0.100000,0.000000,,33200.000,0.100000,1.000000,2.075000,1.172035836,26850.000,0.025000,0.02133040581,0.7707197548,Correctly Calibrated,Productive Challenge,Medium,31.54
2026-05-07,content-intelligence-demo,ci-d1-base-15,1,1,40,40,40,0.200000,0.800000,0.200000,0.000000,0.000000,0.000000,0.000000,0.800000,,8000.000,0.000000,1.000000,0.758333,1.317220938,8500.000,-0.558333,-0.4238719442,-0.02511977478,Correctly Calibrated,Healthy,Medium,22.04
2026-05-07,content-intelligence-demo,ci-d1-base-06,1,1,40,40,40,0.200000,0.800000,0.200000,0.000000,0.000000,0.000000,0.000000,0.800000,,8000.000,0.000000,1.000000,0.758333,1.317220938,8500.000,-0.558333,-0.4238719442,-0.02511977478,Correctly Calibrated,Healthy,Medium,22.04
2026-05-07,content-intelligence-demo,ci-d1-base-09,1,1,40,40,40,0.200000,0.800000,0.200000,0.000000,0.000000,0.000000,0.000000,0.800000,,8000.000,0.000000,1.000000,0.758333,1.317220938,8500.000,-0.558333,-0.4238719442,-0.02511977478,Correctly Calibrated,Healthy,Medium,22.04
2026-05-07,content-intelligence-demo,ci-d1-base-16,1,1,40,40,40,0.200000,0.800000,0.200000,0.000000,0.000000,0.000000,0.000000,0.800000,,8000.000,0.000000,1.000000,0.758333,1.317220938,8500.000,-0.558333,-0.4238719442,-0.02511977478,Correctly Calibrated,Healthy,Medium,22.04
2026-05-07,content-intelligence-demo,ci-d1-base-01,1,1,40,40,40,0.200000,0.800000,0.200000,0.000000,0.000000,0.000000,0.000000,0.800000,,8000.000,0.000000,1.000000,0.758333,1.317220938,8500.000,-0.558333,-0.4238719442,-0.02511977478,Correctly Calibrated,Healthy,Medium,22.04
2026-05-07,content-intelligence-demo,ci-d1-base-02,1,1,40,40,40,0.200000,0.800000,0.200000,0.000000,0.000000,0.000000,0.000000,0.800000,,8000.000,0.000000,1.000000,0.758333,1.317220938,8500.000,-0.558333,-0.4238719442,-0.02511977478,Correctly Calibrated,Healthy,Medium,22.04
